layer,source,competition_instance,family,benchmark_path,best_known_name,n_operations,n_jobs,n_machines,n_workers,flexibility,duration_variety,lb,ub,is_optimal_known,reference_best,reference_avg,current_best,current_avg,in_competition30,selection_reason
layer3_ablation_representatives,Hurinkrdata46,,Hurink_rdata,instances\Example_Instances_FJSSP-WF\Hurinkrdata46.fjs,Hurinkrdata46,300,20,15,22,0.0661515151515,0.00534432737823,376,538,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata1.fjs,Hurinksdata1,36,6,6,9,0.0946502057613,0.054347826087,46,51.9999999894,false,,,,,true,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinksdata44,,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata44.fjs,Hurinksdata44,100,10,10,15,0.0538666666667,0.0792079207921,793,1135,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinksdata48,,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata48.fjs,Hurinksdata48,300,20,15,22,0.0342323232323,0.0103275302449,425,689,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkvdata1,,Hurink_vdata,instances\Example_Instances_FJSSP-WF\Hurinkvdata1.fjs,Hurinkvdata1,36,6,6,9,0.264917695473,0.0194174757282,44,44,true,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkvdata23,,Hurink_vdata,instances\Example_Instances_FJSSP-WF\Hurinkvdata23.fjs,Hurinkvdata23,100,10,10,15,0.254333333333,0.0272608125819,686,686,true,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkvdata46,,Hurink_vdata,instances\Example_Instances_FJSSP-WF\Hurinkvdata46.fjs,Hurinkvdata46,300,20,15,22,0.225101010101,0.00157056315908,371,477,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Kacem1,,Kacem,instances\Example_Instances_FJSSP-WF\Kacem1.fjs,Kacem1,12,4,5,7,0.578571428571,0.0658436213992,11,11,true,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Kacem3,5_Kacem_3_workers,Kacem,instances\Example_Instances_FJSSP-WF\Kacem3.fjs,Kacem3,30,10,10,15,0.529333333333,0.0100755667506,7,7,true,,,,,true,family_min_median_max_operation_count
layer3_ablation_representatives,Kacem4,5_Kacem_4_workers,Kacem,instances\Example_Instances_FJSSP-WF\Kacem4.fjs,Kacem4,56,15,10,15,0.538452380952,0.0145920848994,10,11,false,,,,,true,family_min_median_max_operation_count
